order_id,Sum of price,product_id,quantity
1000000,39.75,3950,1
1000001,81,3233,1
1000002,21.75,1092,1
1000002,21.75,3519,1
1000002,92.25,4875,1
1000002,45,928,1
1000002,59.25,9736,1
1000003,31.5,13249,1
1000003,81,1674,1
1000003,26.25,2708,1
1000003,29.25,4861,1
1000004,22.5,15893,1
1000004,125.25,238,1
1000004,209.25,3309,1
1000004,81.75,6553,1
1000004,44.25,9354,1
1000005,39,5829,1
1000006,45.75,15531,1
1000006,132,3607,1
1000007,171,15289,1
1000007,555,4658,1
1000007,51.75,5001,1
1000007,374.25,5388,1
1000008,99.75,1231,1
1000008,76.5,2071,1
1000008,21.75,4344,9
1000008,56.25,8794,1
1000009,56.25,2093,1
1000009,44.25,3369,1
1000009,74.25,3613,1
1000009,51.75,6922,1
1000009,59.25,7756,1
1000010,42,10575,1
1000010,118.5,1312,1
1000010,24,2011,1
1000010,81.75,2093,1
1000010,27.75,2870,1
1000010,36.75,3858,1
1000010,134.25,80,1
1000010,51.75,8375,1
1000011,59.25,11455,5
1000011,56.25,2093,1
1000012,57.75,4536,1
1000012,74.25,5335,1
1000013,59.25,5889,1
1000014,76.5,1445,1
1000014,21.75,3802,1
1000015,21,3107,1
1000015,44.25,4636,1
1000015,44.25,5570,1
1000015,21.75,5825,1
1000015,81,6034,1
1000015,116.25,6217,1
1000015,59.25,9588,1
1000016,51.75,2080,1
1000016,14.25,2924,1
1000016,27,4529,1
1000016,14.25,477,2
1000016,123.75,5594,1
1000016,14.25,5825,1
1000016,156.75,5988,1
1000016,45,8928,1
1000016,62.25,9294,1
1000017,51.75,12288,1
1000018,74.25,5739,1
1000018,36.75,7293,1
1000018,33.75,768,1
1000019,59.25,7850,1
1000019,44.25,814,1
1000020,33,11214,1
1000020,156.75,5988,1
1000020,17.25,8165,1
1000021,66.75,1485,2
1000021,56.25,8794,1
1000022,51,20691,1
1000022,60,3457,1
1000022,36.75,3858,1
1000022,126.75,7027,1
1000022,59.25,9736,8
1000022,100.5,9862,1
1000023,29.25,10408,1
1000023,21.75,1092,1
1000023,76.5,2071,1
1000023,87,2438,1
1000023,36.75,4779,1
1000023,32.25,5713,1
1000023,45,928,1
1000023,36,9769,1
1000024,14.25,2306,1
1000025,74.25,11455,1
1000025,51.75,4004,1
1000025,74.25,9887,1
1000026,21.75,1092,1
1000026,21.75,12291,1
1000026,44.25,4636,1
1000026,21.75,5825,1
1000026,44.25,9293,1
1000026,59.25,9736,1
1000027,44.25,4343,1
1000027,44.25,4611,1
1000027,81.75,4835,1
1000027,44.25,5345,1
1000027,54,6511,1
1000027,51.75,7833,1
1000028,89.25,12710,1
1000028,59.25,12948,4
1000028,243,1358,1
1000028,89.25,1687,1
1000028,43.5,2680,1
1000028,27.75,2870,1
1000028,192.75,6879,1
1000028,59.25,7186,1
1000028,33.75,7312,1
1000028,59.25,7756,1
1000028,44.25,814,1
1000028,84.75,8230,1
1000028,59.25,9736,1
1000029,24,1754,1
1000029,16.5,4164,1
1000029,96.75,8345,1
1000030,56.25,2093,1
1000031,74.25,2521,1
1000032,42,4351,1
1000033,34.5,11777,1
1000033,59.25,3965,1
1000033,75,4455,1
1000033,72,8034,1
1000034,74.25,1741,1
1000034,96.75,3419,1
1000034,33.75,768,1
1000034,57.75,9705,1
1000035,56.25,2093,1
1000036,74.25,3685,1
1000036,39.75,3950,1
1000037,299.25,1873,1
1000038,58.5,3307,1
1000038,45.75,3638,1
1000038,46.5,5094,1
1000038,34.5,550,1
1000038,39,5829,1
1000038,38.25,6438,1
1000039,23.25,8026,1
1000040,74.25,7816,1
1000040,45,928,1
1000040,59.25,9366,1
1000041,123.75,2030,1
1000041,39.75,3950,1
1000041,75,4455,1
1000041,33,4550,1
1000042,53.25,1512,1
1000042,56.25,2093,1
1000042,53.25,2413,1
1000042,105,4253,1
1000042,74.25,8392,1
1000043,633,1020,1
1000043,134.25,4635,1
1000043,92.25,4875,1
1000043,111,5592,1
1000043,179.25,6168,1
1000043,69,6709,1
1000043,63,8089,1
1000043,160.5,865,1
1000043,33.75,900,1
1000044,306.75,8747,1
1000045,32.25,5713,1
1000045,59.25,7756,1
1000046,149.25,2332,1
1000047,21.75,4022,4
1000047,45,928,1
1000048,52.5,3570,1
1000048,34.5,3810,1
1000049,59.25,11455,1
1000049,59.25,1741,1
1000049,44.25,3369,1
1000050,36.75,1844,1
1000050,119.25,1868,1
1000050,36.75,18830,8
1000050,39,19129,1
1000050,26.25,2708,1
1000050,44.25,2716,1
1000050,36.75,368,1
1000050,134.25,80,1
1000051,44.25,12588,1
1000051,44.25,5587,1
1000051,29.25,7491,1
1000052,56.25,2093,1
1000052,36.75,2609,1
1000053,51.75,1159,1
1000053,13.5,1227,3
1000053,123.75,2030,1
1000053,49.5,3005,1
1000053,66.75,4009,1
1000053,21.75,431,1
1000053,81.75,4549,1
1000053,81,6034,1
1000053,33.75,7025,1
1000053,81.75,8865,1
1000053,45,928,1
1000054,37.5,2005,1
1000054,61.5,3064,1
1000055,149.25,3450,1
1000055,44.25,5587,1
1000056,119.25,10307,1
1000056,19.5,11390,1
1000056,57.75,12109,1
1000056,47.25,1568,1
1000056,22.5,2113,1
1000056,75,3074,1
1000056,77.25,3360,1
1000056,37.5,3870,1
1000056,92.25,4875,1
1000056,81.75,5270,1
1000056,63,8089,1
1000056,66.75,8830,1
1000056,62.25,9861,1
1000057,47.25,1568,1
1000057,26.25,1908,1
1000057,33,6977,1
